S.A. Borders-Shoemaker, Blinded allegiance disallows knowledge of choosing and authenticity.
Marcus Aurelius, In your actions  don't procrastinate.  In your conversations  don't confuse.  In your thoughts  don't wander.  In your soul  don't be passive or aggressive.  In your life  don't be all about business.
Socrates, The unexamined life is not worth living
Albert Einstein, Weak people revenge. Strong people forgive. Intelligent people ignore.
Abigail van Buren, People who fight fire with fire usually end up with ashes.
Sheldon Cooper, There's a tribe in Papua New Guinea where  when a hunter flaunts his success to the rest of the village  they kill him and drive away evil spirits with a drum made of his skin.  Superstitious nonsense  of course - but one can see their point.
Confucius, It does not matter how slowly you go  as long as you do not stop.
Epictetus, We ought not to accept an appearance without examination  but we should say  'Wait  let me see what you are and from where you come'  like the night-watch says  'Show me your pass.'
D.H. Lawrence, I never saw a wild thing sorry for itself. A small bird will drop frozen dead from a bough without ever having felt sorry for itself. 
Jack London, You can’t wait for inspiration. You have to go after it with a club.
Seneca, Pleasure dies at the very moment when it charms us most ... it soon cloys and wearies us  and fades away as soon as its first impulse is over.
Anne Lamott, Perfectionism is the voice of the oppressor  the enemy of the people. It will keep you cramped and insane your whole life  and it is the main obstacle between you and a shitty first draft. I think perfectionism is based on the obsessive belief that if you run carefully enough  hitting each stepping-stone just right  you won’t have to die. The truth is that you will die anyway and that a lot of people who aren’t even looking at their feet are going to do a whole lot better than you  and have a lot more fun while they’re doing it.
Wayne Dyer, If you believe it will work out  you’ll see opportunities. If you believe it won’t  you will see obstacles
Tony A. Gaskins Jr., If you don't build your dream  someone will hire you to help build theirs.
Olya Barnett, You’re so busy doubting yourself while so many others are intimidated by your potential.
John Gardner, Self-pity is easily the most destructive of the non-pharmaceutical narcotics; it is addictive  gives momentary pleasure and separates the victim from reality.
Stephen Fry, Certainly the most destructive vice if you like  that a person can have. More than pride  which is supposedly the number one of the cardinal sins - is self pity. Self pity is the worst possible emotion anyone can have. And the most destructive. It is  to slightly paraphrase what Wilde said about hatred  and I think actually hatred's a subset of self pity and not the other way around - 'It destroys everything around it  except itself '.
James Baldwin, Those who say it can't be done are usually interrupted by others doing it.
Unknown, IBM had/have a credo that a purchaser values their purchase in relation to the price they paid for it.  Keep giving someone something for nothing and that is the value they put on it.
Epicurus, Death does not concern us  because as long as we exist  death is not here. And once it does come  we no longer exist.
Matthew Kelly, The people we surround ourselves with either raise or lower our standards. They either help us to become the best version of ourselves or encourage us to become lesser versions of ourselves. We become like our friends. No man becomes great on his own. No woman becomes great on her own. The people around them help to make them great.  We all need people in our lives who raise our standards  remind us of our essential purpose  and challenge us to become the best version of ourselves.
